time,x,y,z,cogx,cogy,cogz,area,forceX,forceY,forceZ,manipL,manipC
0,0.459571349455769,0.00133947662409202,0.417662047827165,0.120933987274829,-0.00134581762703499,0.417174702798432,0.209768207542694,0.365692079950072,2.97266998162088,-10.1026799679047,0.109719480172178,0.0332783891956598
0.0167233943939209,0.459573063333754,0.00223366813839549,0.417667325192452,0.120937380741243,-0.00114193212356039,0.417175509280639,0.209772224361078,0.440031104644069,2.31085397416721,-10.3051868678073,0.109720987851846,0.0332794051602087
0.0352668762207031,0.459568042128097,0.0041094615942443,0.417675655765616,0.120943196965994,-0.000658865638800471,0.417176762070341,0.209777505801079,0.502445822085426,1.20888049504008,-10.4201179449214,0.109723534146683,0.0332810192878046
0.0529286861419678,0.459567735998914,0.00634923924069587,0.417705389094719,0.120951445996049,-0.000100987706829139,0.417181512851603,0.209795074295302,0.528796002126181,1.98592210624348,-10.4160041986433,0.10973176316956,0.0332862054471481
0.0719561576843262,0.459702990017905,0.00909704201079577,0.417929800331633,0.120996357355669,0.000555033306002357,0.41721792799593,0.209920318583674,0.442971094930828,2.76042656066479,-10.4305894567948,0.109792585687471,0.0333238795266495
0.0895955562591553,0.460034092211148,0.0118891864803677,0.418421378217903,0.12109208970226,0.00121761109332759,0.41729779588228,0.210191909642649,0.349746182506372,3.05736286444425,-10.6308593955322,0.109925480523312,0.0334060509826503
0.107385396957397,0.460314441627158,0.015033887027392,0.418888534237974,0.121176692391653,0.00197555990966858,0.417373958471099,0.210449020406375,0.482576910546073,3.36425461892782,-10.0676903489275,0.110050666240046,0.033483771146601
0.125619411468506,0.460686250174945,0.0187643913328473,0.419529367505958,0.121287361265723,0.00290581823105867,0.417478447071097,0.210799944160482,0.14506274718227,2.88184115366057,-10.2809512235556,0.110222024118676,0.0335900546193384
0.142275094985962,0.461062176702009,0.0229122508042506,0.420240336303766,0.121402721418779,0.00391690450615406,0.41759449957189,0.211189549150197,0.333882658242994,1.77181607565393,-10.5526036854273,0.110411050601213,0.033708151389921
0.165168046951294,0.461359316721758,0.026803960288719,0.420876647455311,0.121499576901236,0.00485146970378722,0.417698214995394,0.211539640250768,0.360033117184367,2.12506197284939,-11.2781667643333,0.110580157756881,0.0338147002406626
0.195441484451294,0.461773002784875,0.0347309246107956,0.422075707881845,0.121649611731673,0.00676670775262788,0.417894849841215,0.212194588967071,0.298750930654877,2.49072077106536,-10.8307515307044,0.110893560297859,0.0340137509912417
0.214028835296631,0.461873087872642,0.0395448840066304,0.422697520789816,0.12170603281795,0.00791549656066342,0.417997205916071,0.212534388624608,0.295934187944064,2.17909162894481,-11.1922070791274,0.111054106444252,0.0341174549634798
0.248283386230469,0.461853921706298,0.0471403381724377,0.423586439554428,0.121755344910613,0.00971804713558491,0.41814424575047,0.213019599477697,0.170159315483381,2.08088278295069,-11.051160202027,0.111280613333468,0.034266180540488
0.269012451171875,0.461653952318938,0.0518135343674664,0.423975628302625,0.121738213390319,0.0108453359346424,0.418209191367697,0.213231285042504,0.211300367390494,2.6471578912889,-10.5503316300627,0.11137777414806,0.0343313088847617
0.284959077835083,0.46147601268509,0.0556583113039782,0.424321113273142,0.12172461476343,0.0117568687376569,0.418266817162324,0.213420312361955,0.0166192327806243,2.45136087606382,-11.6813490375478,0.111464028296917,0.0343899835485175
0.302322864532471,0.461132724411269,0.059732909104919,0.424524082995177,0.121671288953592,0.0127455648128447,0.418300288795364,0.213534729749712,0.49103359098654,2.05486134638169,-11.3200497106118,0.111515601795519,0.0344266422104131
0.320072889328003,0.460638243391119,0.064049438749805,0.424609794955417,0.121585546677988,0.0137884022355447,0.418313886420672,0.213589755489214,0.301159848574842,1.7645615837628,-11.1848979179559,0.111538891472589,0.0344464035054961
0.337710618972778,0.460018037421005,0.0684582391064418,0.424569054655646,0.121477969730311,0.0148427890441074,0.418304541630723,0.213586847907289,0.268290588614064,1.76045449091228,-11.1199340954428,0.1115361314408,0.0344512910136699
0.356613159179688,0.45939037228932,0.0728273391372192,0.424360947153295,0.121403995315856,0.0159042777379216,0.418253026450219,0.213550902742829,0.167560936161561,2.26232463870923,-11.1770134094799,0.111534294370107,0.0344591717034827
0.373332262039185,0.458763278375803,0.0773960017569852,0.423872414692519,0.121403127048359,0.017003765866559,0.418128894474894,0.213470417074443,-0.0218148575581609,2.35896758136146,-10.8594643111233,0.111539572245754,0.0344784451717943
0.408638000488281,0.457522731708098,0.0860296054095467,0.422726865091068,0.12143924457517,0.0191413555657634,0.417834261939277,0.213285148256797,0.116215315229137,1.22844695617468,-11.2229348717086,0.111560935604359,0.0345248257383507
0.442429780960083,0.456305053783768,0.0939442690283868,0.421475129959773,0.121496326915371,0.0211656690164948,0.417508876713935,0.213085449017415,0.0759781427837148,2.00659875544118,-11.787658014957,0.111592150287501,0.0345764268750276
0.461296558380127,0.455661875500614,0.0981649930753006,0.420550326210639,0.121596372806731,0.0222232770257945,0.417268629467432,0.21293563000537,-0.0847979370796435,1.59478679636062,-10.7987331421366,0.111612734874626,0.0346143637797662
0.484187602996826,0.454737383317327,0.103419878816177,0.419632597355367,0.121630609169925,0.0235567994191887,0.417030365462625,0.212785053919018,0.258256370296893,1.47668483905958,-12.1267186007041,0.11163135632689,0.0346517266188061
0.501105785369873,0.454127007115457,0.107219655209431,0.418622632164732,0.121754845149344,0.0245319852952661,0.416766216822789,0.212620882109115,0.229737041717706,0.784295728878738,-11.3626500792621,0.111655849625777,0.0346934068032712
