time,x,y,z,cogx,cogy,cogz,area,forceX,forceY,forceZ,manipL,manipC
0,0.459494146644097,0.00150187300603374,0.417774527802574,0.12087463400505,-0.00130481441593368,0.417210701355539,0.209770361396949,0.400104745304839,1.53095445019403,-11.2126848088234,0.109704447927891,0.0332638460792175
0.0171263217926025,0.459498294469892,0.00189339706445792,0.417775986162462,0.120878185464958,-0.00120169996432372,0.417210477606461,0.209772742709676,0.799666883789087,0.804971584063706,-10.9807374150977,0.109706061751491,0.033264965584601
0.0353851318359375,0.459504309800829,0.00242295520254543,0.41776187038343,0.120886174623164,-0.00106237803157359,0.41720635728768,0.209772224557272,1.0687133718784,0.37329849017543,-12.4429691691508,0.109707843358205,0.0332664035503778
0.0533874034881592,0.459603238017581,0.00303769709348151,0.417443564272768,0.120995290409081,-0.00090044697355206,0.417121581133981,0.209728046408768,1.18457567085284,0.148093774524057,-12.4579743358623,0.10972273200594,0.0332818374359793
0.0710995197296143,0.459881669521758,0.00358052531025851,0.416513106129966,0.121303169759334,-0.000756504071307045,0.416874904225989,0.209592450502037,0.713586397364492,-0.223672384663707,-11.2959391396101,0.109761482770271,0.0333238924627776
0.0889170169830322,0.460277947460805,0.00399434257100228,0.415177617775879,0.121742030324483,-0.000645452610628491,0.416520305056872,0.209395726613838,1.00164067594799,-0.896262064554452,-11.9820337897536,0.109816170009681,0.0333838295609958
0.106169462203979,0.460886686749257,0.0040360377438035,0.413228365989576,0.122395071809827,-0.000631640490364447,0.415997906755038,0.209117690613659,1.02047395558678,-1.10353242751457,-13.0314833202034,0.109904563797399,0.033477694959058
0.124474763870239,0.461856029461927,0.00404140091974093,0.410317401972067,0.123401000967194,-0.000625990850069878,0.415206419676513,0.208723382749317,0.739976023983204,-1.12783942995721,-12.3615859264035,0.11005626822557,0.033632723243254
0.142173767089844,0.463123459283695,0.00404950695242902,0.406955603006893,0.124636011037001,-0.000618799948581919,0.414269186049975,0.208319964043515,0.725481025591545,-0.942306503321193,-12.9113017712641,0.110277670853951,0.0338454977108965
0.160634279251099,0.46461636675076,0.00405846494714079,0.402804904833413,0.126129869026173,-0.000610281858279673,0.413105599391728,0.207793645964093,1.09549160701482,-0.637555956627473,-12.9100842560687,0.110536569780514,0.0341020197125229
0.178366899490356,0.466304583523446,0.00406781221258258,0.39837118651601,0.127773284445054,-0.000601095887840556,0.411836696017996,0.20726186570705,0.743832985784681,-0.540689791307753,-13.2256442568322,0.110847139557617,0.0344037115264138
0.197059869766235,0.468306080440657,0.00407803825266792,0.393170538964766,0.129714542422543,-0.000590423907836111,0.410323695800747,0.206641267803184,0.927701263541261,-0.658003654348646,-13.1229797643569,0.111227031699119,0.0347743826964146
0.216068029403687,0.47080261616073,0.00408754218685961,0.386731766333613,0.132130414363335,-0.000577899228014495,0.408414904809453,0.205872716322978,0.867742262320198,-1.08313214158038,-13.9059545701944,0.111716871539861,0.0352556895086341
0.233294725418091,0.473137754145099,0.00409661574063499,0.380526781716767,0.134429139638326,-0.000565987606773883,0.406547451363002,0.205100144350767,0.676417406161535,-1.41054418147161,-13.1043433042221,0.112182997940395,0.0357251111624578
0.251741170883179,0.475848414767514,0.00410518863411938,0.373257324056679,0.137119898551729,-0.000552636555723892,0.404309924639376,0.204173744232324,0.572163530308119,-1.44791185737642,-13.5290121237849,0.112733910942327,0.0362984164047025
0.270244836807251,0.478527948521814,0.00404668573906056,0.365976318851974,0.139800329316473,-0.000559164342775539,0.40202370567598,0.203223316780897,0.580371364481482,-1.19744771704831,-13.1245304617697,0.113292938998197,0.0368917148040766
0.286923170089722,0.481051441166031,0.0038245422558272,0.358857132216213,0.14237133122358,-0.000616303019035155,0.399760856657706,0.202255028098492,0.403148080470868,-0.534597673643472,-12.8170660123288,0.113833552355746,0.0374728300919898
0.316774606704712,0.48565025656106,0.00404821003792095,0.34676160757798,0.146886589965819,-0.000609725972235284,0.395750887783376,0.200683818764647,0.333662812658755,-0.610559085124096,-12.9348433021714,0.114865263326891,0.0385904940883693
0.339069604873657,0.489341592868812,0.0041550923868607,0.337352301064109,0.150451724521077,-0.000615678439921066,0.392495837831007,0.19946255760535,0.263709085570754,-0.172072056102689,-13.8921131104293,0.115711727778313,0.0395443296492249
0.356080532073975,0.492075103644364,0.00425470596104387,0.330984336458001,0.152965643488635,-0.000623734865195247,0.390194883506683,0.198688970832989,0.0709314635362169,-0.250570642286175,-13.2897402763301,0.116351168727916,0.0402719076790635
0.373841047286987,0.494953933397381,0.00424451473304361,0.323949410288652,0.155668308336918,-0.000640245111903375,0.387626867914045,0.197774604663447,0.040827198035999,-0.269760514736057,-13.0750663456879,0.117028519760035,0.0410675753371513
0.390445709228516,0.497974859130019,0.00425481510853001,0.317067640977889,0.158390328715038,-0.000663933206006761,0.385025560020739,0.196921384144624,-0.420029534610348,-0.397169118288788,-13.9519658376215,0.117747586299688,0.0419183071650854
0.407487392425537,0.501057489289038,0.00411752256191955,0.310033781115106,0.161155946821109,-0.000751778552152362,0.382309461232386,0.196024873804281,-0.293939284098504,0.0998131758870751,-13.5741415639375,0.118481248584652,0.04281357546114
0.425455093383789,0.504399462055068,0.00406120809113058,0.302384495153284,0.164123257037411,-0.000826231602104065,0.379324711042779,0.195034717248026,-0.77692882838913,0.41954392065353,-13.9956054813567,0.119297807695122,0.0438006233664138
0.443663835525513,0.507698123846465,0.00410389402238285,0.294729786519347,0.167053507050803,-0.000844472882565827,0.376279416346657,0.194002870751372,-0.70948894495108,0.244864900644717,-14.4995589999493,0.120102354287687,0.0448081392024597
