time,x,y,z,cogx,cogy,cogz,area,forceX,forceY,forceZ
0,0.472558041375142,0.00299664775290189,0.426905662986864,0.125601665316808,-0.000901776026111884,0.418125194921401,0.216859855151381,1.07045584132165,0.411685307211122,-11.937601113986
0.0216484069824219,0.474750541859762,0.00354709350866179,0.426842385312747,0.126676478442399,-0.000753244692375687,0.417897797777396,0.217632674380616,1.26016136160369,0.651175986576239,-11.6026613623351
0.0408337116241455,0.476999078746273,0.00417505688560187,0.426647728169559,0.127799200725976,-0.000582607965570994,0.417631275661852,0.218389056814402,1.33548629855756,0.680650633209771,-12.1410225342133
0.0607857704162598,0.479304719395047,0.00465447518273729,0.426204143083509,0.128988975086693,-0.000450268568205525,0.417296280829409,0.219096922052286,1.18519241814699,0.992269909963195,-11.9291117865824
0.0792076587677002,0.481733147802226,0.00531449076498973,0.425707359571277,0.130245197098995,-0.000267706977156078,0.416932795071919,0.219831906679348,1.18184062400083,0.756285177938843,-12.1678655803694
0.0975852012634277,0.484121611632513,0.00591030931098625,0.425176857244403,0.131485805242972,-0.000101026733177889,0.416560532750723,0.22053951822552,1.35047370918809,0.877888267444577,-12.7347857869465
0.11626935005188,0.486801069050025,0.00662353450454845,0.424418939707758,0.132902559883361,0.000100141938453792,0.416097838893543,0.221285637264363,1.27539040730737,0.919884323497436,-12.2530414878011
0.134937524795532,0.489607845928758,0.00736674512149384,0.423643467435057,0.134380779308746,0.000311768098494811,0.41561125759009,0.222066473834216,1.27839268059095,1.06271216067048,-12.5313122064815
0.153284311294556,0.492341001411476,0.00815352827885227,0.423069717580996,0.135787894575834,0.000536785264738266,0.415176206978763,0.222870221734773,1.43659775275949,0.856770839924206,-13.1246520223653
0.173248052597046,0.49565538333254,0.00904262841533476,0.421999928210745,0.137551089969883,0.000795167450058892,0.414548817223964,0.223737504833879,1.30917933082232,1.0581161082591,-12.9679174105829
0.191062927246094,0.498599980408846,0.00995540028528422,0.420870637540449,0.139143389480671,0.00106180514918863,0.413939160629009,0.224453895590808,1.45562203336053,1.16615413456743,-13.2641031071988
0.210252285003662,0.502000053300721,0.0110717543816336,0.419668725954863,0.140961320526246,0.00139013380730284,0.413251128131759,0.225300474846647,1.44651571117347,1.02514422692963,-13.4223106321291
0.228900909423828,0.505354552009312,0.0121135780871243,0.418388474689727,0.142764567255679,0.00170098683069738,0.412539177597395,0.226100894061421,1.42535896637313,1.03185077791633,-13.679114114485
0.246446847915649,0.509041340086321,0.0133595225263909,0.416915735591434,0.144751859670415,0.0020752623099957,0.411728568416261,0.226953092227727,1.52872733742131,0.620731262342122,-14.3501281202952
0.26528000831604,0.512649439097108,0.0144733058328973,0.415294702446811,0.146718165681456,0.0024160217248107,0.410878122540129,0.227726261896995,1.62115483868719,0.594499847203898,-14.0362713103285
0.284223079681396,0.516591693988958,0.0156642395293294,0.413551181065954,0.148854850275813,0.0027847222548684,0.409942537249861,0.228565149145402,1.46832520660191,0.578545466969543,-14.5098956520697
0.302319288253784,0.520680407925381,0.0168551431717515,0.411558067182927,0.15109122876252,0.00315935553839912,0.408909732742715,0.229369319440842,1.61958535617878,0.355040228613467,-15.183395584717
0.321623563766479,0.524642554976697,0.0179717553872719,0.40980269501614,0.153223073364769,0.00351441126804219,0.407939973107297,0.230181436247642,1.68194513242277,0.420059742425214,-14.7120236553072
0.340162754058838,0.529040846495375,0.019054407345028,0.407567980509467,0.155623036148819,0.00386785112545328,0.406772466656456,0.230984658378668,1.44527912288843,0.618089447207726,-15.0548862559082
0.358598470687866,0.533345524252029,0.0201529161371433,0.40534071490327,0.157968411597001,0.00422898004135652,0.405601820126883,0.231741453467601,1.61816717346784,0.574044448905561,-15.9751985588436
0.377203226089478,0.537791706655201,0.0212843126136722,0.402422087257351,0.160458702294779,0.00460754439156126,0.404229441085451,0.232341228800434,1.49779740660312,0.427799155610351,-15.3351954138707
0.394995212554932,0.542239855222095,0.022207962379845,0.399887628145692,0.162878271568221,0.00492512507233007,0.402942269080448,0.233025140101118,1.35963212857588,0.524646833143596,-16.2043688854208
0.4146728515625,0.546995839927348,0.0232477784702722,0.397009728755499,0.165472365932465,0.00528408536525799,0.401508731772243,0.233690647221934,1.51246585107308,0.50851954601953,-16.3981516273481
0.432588338851929,0.551888121509507,0.0242029879936255,0.394055330073247,0.168116723333363,0.0056212849067348,0.400027242197351,0.234355663248537,1.39077003464002,0.390814634050027,-16.0242179230093
0.45255970954895,0.556859123987907,0.0250796466306666,0.391125131733766,0.170770568285707,0.00593691949410941,0.398532251706098,0.235029001959755,1.36217578755077,0.278267747378742,-17.4288759992147
0.470822334289551,0.561924239964996,0.0258659722813707,0.388150698971776,0.173478383053437,0.00622842115585009,0.396959665229723,0.23567180320612,1.47443818993998,0.267103545382654,-16.8168689222109
0.48821234703064,0.566791161608205,0.0266694080533943,0.385352933621187,0.176066860233522,0.00652517468404952,0.395430886758559,0.236272175203003,1.29090619834155,-0.283847119037838,-17.5969990360646
0.506298303604126,0.571407417539921,0.0272208545163144,0.383144078428404,0.178427074895566,0.00673833035955028,0.394118285254469,0.236956207491388,1.47300499365604,-0.0121026326625305,-17.0450854902535
0.525854349136353,0.577085034328541,0.0275723001183613,0.380226256775173,0.181354454455269,0.00690060344332389,0.392404664051792,0.237689772801008,1.09742323794777,0.50643514273266,-18.0261230867364
0.545067071914673,0.5825433482668,0.0278638135012764,0.377399167509054,0.184152354948923,0.0070415076950926,0.390733421779285,0.238354918655371,1.33813619549936,0.673628686865023,-18.2052924000674
