,id,condition,AvgVelcoity,MaxVelocity,AvgAccel,MaxAccel,AvgArea,COGZ,PathLengthDifference,RangeX,RangeY,RangeZ,TimeElapsed,NrPks,AvgForceX,AvgForceY,AvgForceZ,MaxForceX,MaxForceY,MaxForceZ,AbgX,kurtosis_x,kurtosis_y,kurtosis_z,kurtosis_cogx,kurtosis_cogy,kurtosis_cogz,kurtosis_area,kurtosis_forceX,kurtosis_forceY,kurtosis_forceZ,kurtosis_x_vel,kurtosis_y_vel,kurtosis_z_vel,kurtosis_norm_vel,kurtosis_x_accel,kurtosis_y_accel,kurtosis_z_accel,kurtosis_norm_accel,skew_x,skew_y,skew_z,skew_cogx,skew_cogy,skew_cogz,skew_area,skew_forceX,skew_forceY,skew_forceZ,skew_x_vel,skew_y_vel,skew_z_vel,skew_norm_vel,skew_x_accel,skew_y_accel,skew_z_accel,skew_norm_accel
0,P10,A,1.72569541003064,9.56179154663768,25.0042530031105,462.224274896846,0.217041829868203,0.336497013626751,0.182147268599214,0.354002331731885,0.058734937536227,0.344930973124454,4.11433720588684,77,-3.75303391216113,-0.344124586930155,-29.9532249006137,11.7168602110405,4.4685650370403,39.8459171875835,46.8276625864737,-0.36595978844770327,3.829900508524706,-1.7489769290210302,-0.6617111799912307,1.4993095483484105,-1.6258318282970927,-1.605850935142099,-1.746357399456376,1.4587452375979613,-0.718938430640736,-0.7876805205519686,3.331248900070218,-0.5805659169915351,-1.0116698382788318,6.529210847627898,29.406661147482218,12.579677180866772,21.630800472321532,-1.027369169999242,-2.114589950545551,-0.15140713826842245,-0.8244838810619145,-1.5279537416402569,-0.06488604226774641,-0.10122073696602908,-0.22766694028739937,-0.9064485954628716,0.8539677448623558,0.637820107543035,1.5018039474133942,-0.7850328148782754,-0.131582239013277,1.7912117723037477,0.9879430238208939,2.7230476558901566,4.240648213063448
1,P10,B,0.397011602860611,2.13748744044896,6.45197489888535,63.0635332351457,0.230778961107247,0.361497615129358,0.0902152983446676,0.251955747125737,0.0401995696287112,0.37673406522659,5.72486567497253,96,-2.97456930063,0.372800269083859,-25.6660438621479,10.3604915893528,2.04632302159252,33.9075792351139,43.2218114642978,-0.6352097660457674,1.00818802013674,-1.5522577383008225,-1.1058060660578446,-0.14092185428445614,-1.485822926912005,-1.276916588323204,-1.5475602402982238,-0.9020234690838809,-0.9166902773880641,-1.1863758957523494,3.1387349620177467,-0.6909447297534039,-0.49181974308460275,1.0176957659500108,7.9538773288926965,0.1163851087872465,2.922683778382334,-0.9060398494318412,-1.226045324587276,-0.09470338168816773,-0.5775213456781528,-0.6878755788179939,-0.17546053957458582,-0.4068334783644204,-0.2596162192890366,-0.17448679703073056,0.7211758645605625,0.1741842785203047,-0.4972927083380436,0.4369020959955059,-0.6087450327503,0.6866541139830816,-0.4181592218052938,0.03678752519272881,1.4709534151216097
2,P10,C,0.554260270596792,2.11436951694384,7.58753987634084,62.8153851480271,0.205004275876275,0.349421720509028,0.0109175766764127,0.290644624282619,0.0586607467084072,0.296883546994575,3.46165680885315,63,-3.93332628572703,0.193801761570253,-22.4401720629437,10.088812682293,2.00764214741394,34.3513877919787,39.9947492096032,-1.480647215125958,-1.3847601243732062,-1.44718357341955,-1.466436005961985,-1.4686460689324485,-1.4552439513421844,-0.17481648974617015,-1.3461074394821464,-1.2344674896581367,-1.480270665150876,-0.7405044114057509,-0.28934599751358503,-0.98148647300459,-1.3640544619262123,-0.30460955492234243,1.479954707466903,0.3781800654989298,0.9638135258302984,-0.06390181097954035,-0.48527485985719004,-0.012287891078057306,-0.1378917712518789,-0.3878534877460528,-0.1739748375811867,-1.0584286289921245,-0.32659835335506826,-0.22354640358118533,-0.06722682075113624,0.10515431811578164,0.9440140169470786,-0.22332750974702165,0.08412063298283823,-0.06056602691066089,-0.009881806284319415,0.08909379825104181,0.9793172647733309
3,P10,D,0.714325895361449,3.74631355472365,9.65246613408704,59.0929985912716,0.237913675616239,0.363064930202159,0.353514805192027,0.368711065019042,0.176214019712529,0.359520045078301,6.3855299949646,107,-0.898455597328243,0.333099428664193,-28.5611341336811,10.6829110784698,4.11605549588129,42.5301843660957,45.0516953598892,-1.3587807359284818,-1.1078565068391002,-0.9504549908049817,-1.419825838458073,-1.0375708214593802,-1.230036832106935,-1.20433234243296,-0.7208971676655809,-0.7026569039968389,-1.4862547948115272,-0.9973562494539379,0.3424499786142534,-0.6678256991223304,-0.16636187673330527,-0.23753666851246535,4.962266024897497,-0.02029458866157663,2.8924098071804716,-0.5002676605052669,-0.33506304465259684,-0.8423446840166678,-0.34346202338504933,-0.2378628778298737,-0.6219129135598237,-0.2030684190466251,-0.8801646136853726,-0.5455419355940146,0.3722144212850842,-0.3321806980435812,-0.8922218262621314,-0.4791877332329981,-0.0660672823315169,0.09924234631089145,0.31623498495861374,0.08939832373047626,1.39561269800225
4,P10,E,1.57900402137938,9.56702105299036,15.8579918063497,127.025890596898,0.28018067595025,0.396404341319125,1.86589967420655,0.4096764059968,0.623405998861981,0.769628582215156,12.0568971633911,224,5.07386354542828,2.6855639322333,-31.2697305623512,17.1008206522858,12.9688373500228,46.6479721021318,47.5779751037227,-1.5333057686508225,-0.8961958390454168,-0.8859989184231489,-1.6054386236710945,-0.7965928256394661,-1.2076510293405045,-0.6711902551057505,-0.5413316424081902,-0.08156156303047091,-1.2342781548533404,-0.43183141035531314,-0.8993826134407659,-1.006465699846326,0.24679226587076863,4.25650517213556,2.3953280523444755,0.5033826828972754,2.714739713982177,-0.07263471265083794,0.5187165382965468,-0.16923675664606827,-0.30901020918302124,0.5703734196065019,-0.022716103029460623,-0.4019662111919088,-0.7309819531251622,1.0547123212491993,0.5644793689118802,-0.11399330116314113,-0.5819708156080479,-0.17013048896072608,-0.4447743736290052,0.7215877946008115,0.16064618365061734,-0.1711207064148074,1.274818985916241
5,P10,F,1.05935184972164,3.78280148365903,13.9747014205203,125.458769350444,0.275510609131965,0.373214872284454,0.452068564638454,0.354753972995627,0.155602701907273,0.463055010369174,7.27177619934082,135,4.99982073878409,0.8743342052071,-35.1694518392614,12.7017339363087,3.20721996797724,45.9419836242417,51.9574268048356,-0.46785422752917327,-1.399021893965461,0.06652160294895015,-0.7193181872014929,-1.4066088504695125,-0.4424514292530657,-0.08672506869262397,-0.21527920531269062,-0.23369659166679524,-0.5103773258378732,-1.1040087304550184,0.5252749763223652,-0.5989818464270038,1.577998953800086,0.5697039664416197,2.080608731159817,3.154151357591627,6.408903242763955,-0.8485887149576702,-0.022364624053681764,-1.245409052783133,-0.786520516673135,0.08836186936034678,-0.8739398724055719,-1.0531432580786972,-0.9342614369101432,-0.8146312999407528,0.8312209552211947,-0.4131572108872973,0.6882156314847139,-0.6687394381807503,1.0788778658227938,0.470258974324794,-0.14300759118094844,-0.2919910389246794,1.8833866725108384
6,P10,G,0.490270597808423,2.66310602714712,7.19741631128003,65.5742511014207,0.221832462281411,0.351767219301057,0.167307802946961,0.315160235798999,0.0954842035716203,0.334354096501485,7.12888097763062,121,-2.68762872785363,-0.463546753303784,-25.4114744927124,10.3492318089224,3.05412579669005,36.3076843468535,42.3520495643702,-1.2150166198775079,-0.25819875011313753,-1.5946302471017002,-1.2860981423795774,-0.12668621195812113,-1.6252286400700722,-1.2740752551264276,-1.4324803248948041,-1.425175783740002,-1.3283543839578242,-1.2603278910177675,0.41346852465636275,-0.8928469547032143,-0.3407511015232467,0.6944975692372797,2.2453223162952325,1.1749017016944565,0.6548739368913732,-0.5312042114408237,-0.5326553806975335,-0.2629170715338638,-0.4434457066528923,-0.5894222207933614,-0.009958548564624248,-0.3189088437172106,-0.5140739904713107,-0.02830741834205463,0.4128362124528173,-0.2744416526846088,0.34018815316570633,-0.0012038541611218711,-0.32779895462740727,0.18241117315969882,-0.15923280947955612,0.07194836565469269,0.9930928552698168
7,P10,H,1.01809676475803,4.77676918875268,12.6020882077465,63.5574805476171,0.201733599287444,0.312945591158406,0.24745368619649,0.312910781483587,0.0394847758138668,0.298785699470982,4.29266548156738,73,-4.47468438944064,0.0801556691681813,-27.8799523181066,8.96394137041329,2.27952116901239,34.1951863247019,44.3494451624167,0.6603374775589304,-0.8703197083711944,-1.2199309077867397,0.525758418405085,-0.9270848664781117,-1.0962433174333028,-1.169990251726422,-1.3771716418797333,-0.6045338539741119,0.37724608067084686,-0.078532596622376,2.270818976109579,-1.217251260404352,-1.3093797383337096,5.947140087400207,2.8122859041637973,1.2706387716339052,0.6980318249255886,-1.351136374990501,-0.6759404184576925,0.6001426058452155,-1.3292242423429514,-0.6706204587145448,0.6731639298200792,0.37558934418007206,0.45991168025310836,-0.12334267315479604,1.2877213651378343,1.0584858141949056,0.5515860794369173,-0.15949061964711303,-0.1607057570863984,1.9014824121358274,0.046328678672301414,-0.05237389069470472,1.0755951120344758
8,P11,A,1.14236843299754,3.05994788435934,14.0299227617182,64.5751243208225,0.173190256221474,0.303042797382691,0.10174510286386,0.359427493329799,0.102679332940336,0.338392583592207,2.70713472366333,53,-5.04560578494616,-0.106346257898769,-24.8383672050736,10.3699549028027,3.86455866213781,40.7203585119219,40.6645877591238,-1.4044884164862517,-1.25211061771415,-1.3180044494679348,-1.2494789649087141,-1.3585815471177038,-1.5577262171117632,-1.7045822272315287,-1.5839609143072806,-0.23879070584600592,-1.4120124225394755,-0.317185333864098,-1.0393540529568523,-1.2670362238221826,-1.0564128235093135,2.249825783672672,8.882836123708888,-0.5989901511985796,0.9769453726792383,0.07282639819219111,-0.39369660701524406,0.5356417994284377,-0.33738676576675786,-0.39061855042427535,0.15271601805096044,-0.09852089709708892,0.23631686371677615,-0.4933945147139143,-0.19545905068944197,0.6059835090342631,0.03401951882493703,0.001256620036413845,-0.5718816328149243,-0.795455028984131,1.814019882697122,0.4333684606976588,1.1696309886542946
9,P11,B,0.548451646439463,2.12264118711917,7.9603088336325,62.3188920495366,0.157635848115624,0.289295363402097,0.0539905301680527,0.282034037754654,0.0440576910307144,0.378093870907274,3.68517422676086,63,-7.31087721906321,-0.0352266256924333,-22.5651007425895,13.1628940269309,1.58109355709863,33.5901926695639,39.1004954889244,-1.5118306860922686,-1.8535447562828875,-0.3358927287486724,-0.9469978165531998,-1.8481120760716887,-1.1290498483747557,-0.9585970756094571,-1.3828562245867004,-0.7892228189885335,-1.528988897958041,-1.1380041857377778,1.5593777868030685,-1.0193883410858273,-0.9505480162464224,0.5399671212173192,6.171203780864088,0.2475823939884476,-0.4761524937385886,-0.14549388765127952,0.08623844720790522,0.9506213382145883,-0.618752810551567,0.06951187439815917,0.5378737543980779,0.45022850756066046,0.31412768849051864,-0.2727548986814164,0.07270755104913205,-0.4956409891427175,1.688464514896454,-0.3145804756435436,-0.32547933325827594,-0.19147162499158607,-0.03453728714613674,-0.28123437843568605,0.4802460949881888
