"id","condition","Yaw","Pitch","Roll","AvgVelocity","AvgAccel","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P10","A",94.32770641,0.004330391,108.122047,1.72569541,25.004253,0.182147269,0.354002332,0.058734938,0.344930973,4.114337206
"P10","B",93.16459588,0.002970842,111.4510894,0.397011603,6.451974899,0.090215298,0.251955747,0.04019957,0.376734065,5.724865675
"P10","C",93.37697605,0.004849688,109.745352,0.554260271,7.587539876,0.010917577,0.290644624,0.058660747,0.296883547,3.461656809
"P10","D",97.51374392,0.003409831,102.2492155,0.714325895,9.652466134,0.353514805,0.368711065,0.17621402,0.359520045,6.385529995
"P10","E",102.1925673,0.002384969,95.32220881,1.579004021,15.85799181,1.865899674,0.409676406,0.623405999,0.769628582,12.05689716
"P10","F",101.7373755,0.002284266,95.57903337,1.05935185,13.97470142,0.452068565,0.354753973,0.155602702,0.46305501,7.271776199
"P10","G",95.64321018,0.003417792,99.79486515,0.490270598,7.197416311,0.167307803,0.315160236,0.095484204,0.334354097,7.128880978
"P10","H",91.74943517,0.003909374,92.97651982,1.018096765,12.60208821,0.247453686,0.312910781,0.039484776,0.298785699,4.292665482
"P11","A",95.58962177,0.252070653,93.88864987,1.142368433,14.02992276,0.101745103,0.359427493,0.102679333,0.338392584,2.707134724
"P11","B",92.26264425,0.13724304,106.3203212,0.548451646,7.960308834,0.05399053,0.282034038,0.044057691,0.378093871,3.685174227
"P11","C",92.17802109,0.223366339,93.94792005,0.735507436,10.39976457,0.020615011,0.298721019,0.052604582,0.295128881,3.251647711
"P11","D",100.2006633,1.307915308,110.1908939,1.609189731,16.74644452,0.48259314,0.328439353,0.204887625,0.390729039,6.676415443
"P11","E",91.68263387,0.00994031,94.45621856,0.370562455,2.53456746,0.144315802,0.334236098,0.054121221,0.375092567,2.823129892
"P11","F",90.97055396,0.484522056,95.69799391,0.37663196,5.059233382,0.122480538,0.107495483,0.043881002,0.064343743,5.515105247
"P11","G",92.56443036,0.184650732,105.3851751,0.715496316,10.48515533,0.118756746,0.294244056,0.027298198,0.37569752,4.261959791
"P11","H",102.2214186,4.668955652,95.17247149,1.507535285,25.51109733,0.192587727,0.316733737,0.114033017,0.349340725,2.589864492
"P12","A",92.22734724,-0.695726339,87.11154349,2.514987844,30.41792002,1.047549599,0.363361291,0.211743536,0.534950345,4.975732327
"P12","B",92.22682416,0.655433472,90.73505371,1.206937942,13.43401452,0.584043411,0.343052517,0.218909336,0.322186312,6.92685771
"P12","C",92.00161927,2.079768047,92.30182789,1.735843866,19.7908671,0.600964517,0.065427114,0.304476955,0.04168418,2.563704729
"P12","D",103.6470812,6.486610645,98.1228765,1.654087103,18.51935455,2.326351824,0.510292269,0.954607636,0.421488319,10.05303645
"P12","E",97.80636813,-5.891173364,87.67429396,3.139833804,61.23243752,1.704082256,0.405170747,0.597434747,0.42716751,11.70675516
"P12","F",96.40222886,0.296819175,93.47930011,0.76330663,6.330688057,1.290401807,0.39550242,0.492415182,0.309166683,9.712405682
"P12","G",95.4188962,3.828787688,89.4019594,1.159217083,15.82607395,0.963052916,0.316644944,0.379514887,0.435673011,8.243785381
"P12","H",99.87610641,8.027390544,93.25224318,1.655701734,20.59799293,1.082405385,0.354484867,0.489182434,0.303743584,3.845281363
"P13","A",95.11708564,1.136643981,117.5652235,2.803768575,40.07302001,0.471437174,0.34514437,0.086913474,0.369291364,3.93322134
"P13","B",94.75031086,0.2742873,119.5423736,1.006967538,10.83373477,0.148578626,0.26275376,0.05950698,0.367776062,5.207005978
"P13","C",93.11591668,0.263479095,99.15646435,4.305290469,42.61616888,0.010233695,0.282513626,0.050938164,0.340181161,2.420519352
"P13","D",94.45486357,-3.899526337,98.64674762,3.153066833,63.37599093,0.286927738,0.25931764,0.169011278,0.373680076,4.957189798
