"id","condition","AvgVelocity","MaxVelocity","AvgAccel","MaxAccel","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P15","F",1.080325728,3.696425341,16.12374897,60.77406661,0.055566695,0.28005689,0.027036808,0.243504351,3.751006365
"P15","G",2.609791418,9.566075684,30.36414011,519.906945,0.019583022,0.279137324,0.024402078,0.351907751,4.127643347
"P15","H",3.449576538,10.08889883,87.74662112,680.7968701,1.830470178,0.393768877,0.301680166,0.367047486,9.990263939
"P16","A",0.92020934,2.428444109,13.06049714,65.61251809,0.170320339,0.386471397,0.017173791,0.32678317,1.52913332
"P16","B",0.72694034,3.714544689,9.511932326,63.93910029,0.297389991,0.286977831,0.055484135,0.281187796,6.306174517
"P16","C",1.67030247,9.55804707,23.44713326,498.896411,0.463138882,0.351725106,0.097024546,0.417977183,3.233930349
"P16","D",0.26162793,2.192489393,4.578416215,62.39358338,0.586704116,0.33625373,0.111170458,0.368071489,8.539865971
"P16","E",1.418548938,3.894778386,11.40082313,59.85314808,2.536287616,0.387781462,0.571901015,0.721376027,5.107853174
"P16","F",0.590679398,3.750994396,9.417858314,64.93563086,0.830405522,0.321900836,0.023859998,0.327188371,6.417098284
"P16","G",0.237010098,0.556543142,1.600928186,7.054340245,0.12417269,0.344174519,0.026957813,0.306130187,3.455954552
"P16","H",0.9261216,3.097366237,13.02586679,62.55013404,0.515637594,0.371177103,0.072953868,0.368306349,2.913664341
"P17","A",0.280254117,1.157382978,2.77975161,61.74229743,0.131838001,0.398454335,0.058488019,0.359416537,4.316717386
"P17","B",0.211470202,1.005735565,1.261697859,57.84403646,0.177780778,0.305955944,0.105536169,0.145337542,4.596776485
"P17","C",0.389824708,1.156174477,6.142877866,62.93172918,0.058932358,0.380625951,0.055570222,0.346701787,4.655636549
"P17","D",0.136973653,0.345773897,1.260595733,5.082358757,0.042307917,0.142255191,0.040675444,0.456447577,4.125006914
"P17","E",0.662000944,1.340411753,3.973261247,59.82681153,0.919577784,0.418751025,0.416171872,0.618281743,3.885015488
"P17","F",0.501277699,3.778453822,3.485167719,63.6982796,1.234726724,0.37862698,0.018845897,0.725086311,10.99817109
"P17","G",0.190706683,0.415708564,1.423846785,5.514742287,0.228239013,0.374643489,0.068713429,0.409284779,4.584965706
"P17","H",0.440320872,1.097071003,2.294268346,60.52101718,0.573734877,0.389980772,0.542208194,0.306731556,3.846533298
"P18","A",0.386823752,1.174677398,2.930445879,53.04349269,0.176532663,0.364905111,0.067760813,0.331664697,3.161267281
"P18","B",0.2284177,1.118657644,4.236622739,61.54658134,0.018998344,0.278210817,0.045935377,0.296022947,4.366174221
"P18","C",0.30738186,0.670585108,1.836221258,7.317644276,0.037872991,0.270705378,0.055504303,0.323814914,2.672816515
"P18","D",1.178824336,5.85095014,15.02525257,125.7374767,1.268226352,0.36212754,0.616769332,0.363940493,9.165083885
"P18","E",1.30313376,9.310208353,17.81643418,432.3580598,1.187873098,0.310978589,0.23582212,0.381897288,9.020424366
"P18","F",0.27068038,1.187651188,2.835956426,59.64494741,0.123789308,0.306028703,0.045901344,0.325391176,5.578918934
"P18","G",0.188681146,1.060598678,2.049186411,59.95365334,0.052151286,0.220473371,0.054349644,0.387568098,4.86374712
"P18","H",1.210627694,3.032804168,12.90977403,62.07720602,0.078150368,0.289036298,0.07124308,0.30622918,4.082136631
"P19","A",0.493111161,0.951871048,1.597853216,4.12861593,0.028275612,0.276738776,0.048899003,0.092902556,1.195785999
"P19","B",0.031288767,0.095815842,1.058550898,3.702733271,0.06382377,0.212871188,0.050530874,0.193954571,8.852675438
"P19","C",1.182192743,4.76945081,13.4890131,61.94310182,0.028345654,0.310666747,0.047526345,0.360093047,3.722157001
"P19","D",2.579092659,10.04151615,59.17617244,504.9402211,1.041165304,0.363903993,0.104323296,0.730515431,10.77713895
"P19","E",0.711224577,1.503413094,2.784629682,59.07946859,2.753349619,0.390710218,0.422249887,0.67706903,8.962575436
"P19","F",0.958610739,9.55384929,11.32718011,97.71176522,0.261309582,0.337745497,0.029630734,0.33917163,10.43743491
"P19","G",0.108948855,1.086353869,2.976733619,60.86210549,0.106449578,0.278557601,0.040793203,0.236047998,12.99920273
"P19","H",3.519877409,9.558905171,83.76565836,462.2794929,0.087056387,0.295157319,0.03538881,0.323100504,2.914110661
"P20","A",2.06653367,9.518762502,30.3626422,478.7039678,0.236619582,0.391232568,0.05861491,0.337132817,2.658065081
"P20","B",1.10493914,7.457856093,14.62475064,229.5706907,0.166858362,0.33884028,0.041401543,0.328844667,6.775165319
"P20","C",2.243232996,9.595023151,24.16822359,473.6058631,0.203878746,0.346155224,0.039526719,0.388601344,3.847250462
"P20","D",1.914915227,9.576728985,21.16197486,461.7009796,0.607905581,0.374983572,0.072127933,0.556274839,5.240020275
"P20","E",1.689044733,7.623190946,19.05223825,87.16221948,1.005852478,0.302842147,0.50096308,0.378884836,7.164355993
"P20","F",1.31279798,5.823847537,9.643866874,61.54570239,0.314751938,0.257175143,0.073077932,0.374669875,5.765602112
"P20","G",0.634200639,3.71203454,10.95239419,63.83974215,0.032452975,0.298878801,0.027147883,0.315042793,5.244553328
"P20","H",1.817611256,9.544962185,30.32981455,441.1343187,0.063809219,0.312042123,0.055056477,0.311809211,2.367962122
"P21","D",0.34520541,2.129402837,5.984295562,72.62051391,0.369858561,0.313341426,0.09839975,0.332801184,10.89354968
"P21","E",0.25029227,1.868366215,3.668250171,63.64834206,0.307308818,0.173415592,0.063495304,0.188999836,5.872766972
"P21","F",0.073432411,1.060313284,1.045977421,56.71891419,0.092293106,0.291918858,0.057762105,0.298602221,6.467824936
"P21","H",0.120185438,1.0721513,2.153991414,57.79232773,0.062342994,0.303850072,0.05056528,0.296512355,4.441579819
"P22","A",1.534784159,9.614468977,21.94697605,125.8998208,0.226324806,0.300185553,0.030525015,0.421179926,3.222607136
"P22","B",0.296179961,1.878436042,5.207771432,60.55291204,0.032187309,0.272230472,0.016922081,0.301299549,4.080248117
"P22","C",0.50129444,2.12705088,8.233481952,64.04201298,0.801332162,0.305570573,0.053276907,0.333990861,4.036596298
"P22","D",2.78463617,10.09946273,52.28993716,793.8902035,0.785238722,0.307021664,0.43494875,0.36609482,5.625397921
"P22","E",0.603758515,1.937587456,8.864842546,64.6600216,0.73665028,0.340998268,0.233111451,0.439154816,5.045083284
"P22","F",1.022439304,7.417694379,12.28448123,66.55144563,0.403481628,0.31028154,0.068274031,0.300056239,4.556233168
"P22","G",0.729433412,2.908000573,11.46257643,65.60224943,0.686763662,0.373081261,0.045701736,0.388397922,6.913102388
"P22","H",1.136516404,4.94554094,13.00874686,64.85994952,1.115366152,0.419179537,0.038008845,0.385729901,6.056517839
"P23","A",0.289976668,1.2120748,3.837476722,60.8858935,0.112120715,0.347695179,0.008640415,0.37333052,4.56520319
"P23","B",0.241953583,1.867145667,4.193546932,63.31442761,0.068338719,0.255899779,0.012763505,0.245816851,5.41348505
"P23","C",0.355933433,1.892739402,5.71600777,61.5578154,0.068791092,0.268064084,0.014546745,0.379310545,4.868844986
"P23","D",0.47313093,1.660134317,7.514303487,62.2921738,0.365675074,0.329153796,0.200493867,0.377625236,11.10206056
"P23","E",0.441921588,1.284392333,5.043579943,63.00289881,1.116298047,0.32216581,0.366927809,0.374138648,9.9355371
