id,condition,AvgVelcoity,MaxVelocity,AvgAccel,MaxAccel,AvgArea,COGZ,PathLengthDifference,RangeX,RangeY,RangeZ,TimeElapsed,NrPks,AvgForceX,AvgForceY,AvgForceZ,MaxForceX,MaxForceY,MaxForceZ,AbgX
P10,A,1.72569541003064,9.56179154663768,25.0042530031105,462.224274896846,0.217041829868203,0.336497013626751,0.182147268599214,0.354002331731885,0.058734937536227,0.344930973124454,4.11433720588684,77,-3.75303391216113,-0.344124586930155,-29.9532249006137,11.7168602110405,4.4685650370403,39.8459171875835,46.8276625864737
P10,B,0.397011602860611,2.13748744044896,6.45197489888535,63.0635332351457,0.230778961107247,0.361497615129358,0.0902152983446676,0.251955747125737,0.0401995696287112,0.37673406522659,5.72486567497253,96,-2.97456930063,0.372800269083859,-25.6660438621479,10.3604915893528,2.04632302159252,33.9075792351139,43.2218114642978
P10,C,0.554260270596792,2.11436951694384,7.58753987634084,62.8153851480271,0.205004275876275,0.349421720509028,0.0109175766764127,0.290644624282619,0.0586607467084072,0.296883546994575,3.46165680885315,63,-3.93332628572703,0.193801761570253,-22.4401720629437,10.088812682293,2.00764214741394,34.3513877919787,39.9947492096032
P10,D,0.714325895361449,3.74631355472365,9.65246613408704,59.0929985912716,0.237913675616239,0.363064930202159,0.353514805192027,0.368711065019042,0.176214019712529,0.359520045078301,6.3855299949646,107,-0.898455597328243,0.333099428664193,-28.5611341336811,10.6829110784698,4.11605549588129,42.5301843660957,45.0516953598892
P10,E,1.57900402137938,9.56702105299036,15.8579918063497,127.025890596898,0.28018067595025,0.396404341319125,1.86589967420655,0.4096764059968,0.623405998861981,0.769628582215156,12.0568971633911,224,5.07386354542828,2.6855639322333,-31.2697305623512,17.1008206522858,12.9688373500228,46.6479721021318,47.5779751037227
P10,F,1.05935184972164,3.78280148365903,13.9747014205203,125.458769350444,0.275510609131965,0.373214872284454,0.452068564638454,0.354753972995627,0.155602701907273,0.463055010369174,7.27177619934082,135,4.99982073878409,0.8743342052071,-35.1694518392614,12.7017339363087,3.20721996797724,45.9419836242417,51.9574268048356
P10,G,0.490270597808423,2.66310602714712,7.19741631128003,65.5742511014207,0.221832462281411,0.351767219301057,0.167307802946961,0.315160235798999,0.0954842035716203,0.334354096501485,7.12888097763062,121,-2.68762872785363,-0.463546753303784,-25.4114744927124,10.3492318089224,3.05412579669005,36.3076843468535,42.3520495643702
P10,H,1.01809676475803,4.77676918875268,12.6020882077465,63.5574805476171,0.201733599287444,0.312945591158406,0.24745368619649,0.312910781483587,0.0394847758138668,0.298785699470982,4.29266548156738,73,-4.47468438944064,0.0801556691681813,-27.8799523181066,8.96394137041329,2.27952116901239,34.1951863247019,44.3494451624167
P11,A,1.14236843299754,3.05994788435934,14.0299227617182,64.5751243208225,0.173190256221474,0.303042797382691,0.10174510286386,0.359427493329799,0.102679332940336,0.338392583592207,2.70713472366333,53,-5.04560578494616,-0.106346257898769,-24.8383672050736,10.3699549028027,3.86455866213781,40.7203585119219,40.6645877591238
P11,B,0.548451646439463,2.12264118711917,7.9603088336325,62.3188920495366,0.157635848115624,0.289295363402097,0.0539905301680527,0.282034037754654,0.0440576910307144,0.378093870907274,3.68517422676086,63,-7.31087721906321,-0.0352266256924333,-22.5651007425895,13.1628940269309,1.58109355709863,33.5901926695639,39.1004954889244
P11,C,0.735507436075911,2.65350602386191,10.3997645736442,62.913459334267,0.200106277018245,0.336220715743696,0.0206150110935574,0.298721018533197,0.0526045823961482,0.29512888084716,3.25164771080017,64,-3.28228361482562,0.672704399655101,-22.4321714617484,8.4895721647109,2.88269552010224,33.7540972297704,38.7481477759201
P11,D,1.60918973071545,5.89350251521196,16.7464445237495,99.8832429991209,0.149552936783511,0.28048487172907,0.482593140043272,0.328439352814343,0.204887625428397,0.390729039341716,6.67641544342041,122,-7.60351340848047,-1.43900595685871,-21.1165414124395,12.0494039680606,4.84397974503758,36.4013756679037,37.6071830958112
P11,E,0.370562454823804,1.42192573262805,2.53456745962191,60.7326014651325,0.161983702859641,0.285588528801188,0.144315801909695,0.334236097739861,0.0541212212385145,0.37509256682131,2.82312989234924,56,-6.3555199901334,0.337092172767517,-24.8592281993667,11.1134341522242,3.64978170456393,37.536926117442,40.789620107435
