"id","condition","AvgVelocity","PathLengthDifference","RangeZ","TimeElapsed"
"P22","A",1.534784159,0.226324806,0.421179926,3.222607136
"P22","B",0.296179961,0.032187309,0.301299549,4.080248117
"P22","C",0.50129444,0.801332162,0.333990861,4.036596298
"P22","D",2.78463617,0.785238722,0.36609482,5.625397921
"P22","E",0.603758515,0.73665028,0.439154816,5.045083284
"P22","F",1.022439304,0.403481628,0.300056239,4.556233168
"P22","G",0.729433412,0.686763662,0.388397922,6.913102388
"P22","H",1.136516404,1.115366152,0.385729901,6.056517839
"P23","A",0.289976668,0.112120715,0.37333052,4.56520319
"P23","B",0.241953583,0.068338719,0.245816851,5.41348505
"P23","C",0.355933433,0.068791092,0.379310545,4.868844986
"P23","D",0.47313093,0.365675074,0.377625236,11.10206056
"P23","E",0.441921588,1.116298047,0.374138648,9.9355371
"P23","F",0.148513673,0.142990715,0.369242678,7.875137091
"P23","G",0.258384745,0.26437266,0.356778162,8.385607481
"P23","H",0.597562302,0.049036846,0.375153052,3.080022812
"P24","A",1.906675216,0.392271103,0.327980208,6.364259958
"P24","B",2.319770683,0.061331825,0.303494241,3.894692898
"P24","C",2.434645289,0.067773743,0.363634702,2.179163694
"P24","D",3.405113192,0.886828758,0.377195532,5.305562019
"P24","E",2.963300873,3.441715814,0.672407847,9.47305584
"P24","F",1.811006013,0.180722473,0.362314862,6.271368027
"P24","G",1.546352755,0.048738425,0.319478083,4.197037458
"P24","H",1.952257417,0.966541819,0.514492964,7.309008598
"P25","A",0.90175714,0.094815123,0.323246322,2.031748056
"P25","B",1.041442354,0.23377731,0.380813288,5.328083277
"P25","C",0.403570685,0.026582265,0.342420471,2.476014853
"P25","D",1.780053566,0.180909693,0.339727609,3.386697292
"P25","E",2.963148201,0.374831252,0.325371021,4.322594166
"P25","F",0.863849015,0.040905718,0.334565222,4.227174282
"P25","G",0.459841582,0.128799795,0.344081972,5.759992599
"P25","H",1.501265739,0.088431968,0.340270019,3.465269327
"P26","A",1.147377567,0.320903805,0.407249549,5.873069525
"P26","B",0.227673414,0.14018576,0.257987154,8.868609428
"P26","C",0.886190042,0.08910264,0.326248698,3.596786499
"P26","D",1.886904381,2.367160949,0.45312408,29.20131087
"P26","E",1.539124416,0.726073484,0.316583295,13.31117511
"P26","F",0.170132012,0.70051883,0.387416107,13.67274141
"P26","G",0.368019466,0.192309253,0.328318195,6.885729551
"P26","H",1.909108955,0.456707887,0.392773549,2.957719326
"P27","A",1.447232725,0.581532721,0.409545784,7.497225285
"P27","B",0.145614032,0.107400714,0.294073535,6.288664103
"P27","C",1.464374456,0.044823794,0.320531876,4.354746342
"P27","D",1.301440224,0.950453851,0.740192508,11.70031977
"P27","E",3.180346778,2.347703431,0.679345636,9.447983742
"P27","F",1.530829975,0.732987598,0.650690542,10.39679384
"P27","G",0.268291791,0.179611704,0.366888054,8.582798243
"P27","H",3.342154586,1.178979149,0.363935138,5.771688938
"P28","A",2.644857744,0.08552437,0.331805232,3.361457825
"P28","B",0.52824842,0.201990841,0.293455447,4.645219088
"P28","C",0.54172409,0.010106664,0.331175717,3.307669401
"P28","D",1.427983728,1.097075677,0.387854162,7.734876871
