"id","condition","Yaw","Pitch","Roll","AvgVelocity","MaxVelocity","AvgAccel","MaxAccel","COGZ","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P21","F",92.83561692,0.006195267,88.04224577,0.073432411,1.060313284,1.045977421,56.71891419,0.332635708,0.092293106,0.291918858,0.057762105,0.298602221,6.467824936
"P21","H",92.09470253,0.007522305,90.13135192,0.120185438,1.0721513,2.153991414,57.79232773,0.33081274,0.062342994,0.303850072,0.05056528,0.296512355,4.441579819
"P22","A",92.16053228,0.799766985,93.32856477,1.534784159,9.614468977,21.94697605,125.8998208,0.307970118,0.226324806,0.300185553,0.030525015,0.421179926,3.222607136
"P22","B",89.63975731,0.12459607,85.36938076,0.296179961,1.878436042,5.207771432,60.55291204,0.326188246,0.032187309,0.272230472,0.016922081,0.301299549,4.080248117
"P22","C",93.05567159,0.277042586,96.44674207,0.50129444,2.12705088,8.233481952,64.04201298,0.323533792,0.801332162,0.305570573,0.053276907,0.333990861,4.036596298
"P22","D",46.77436862,-28.42981786,125.6552793,2.78463617,10.09946273,52.28993716,793.8902035,0.303271016,0.785238722,0.307021664,0.43494875,0.36609482,5.625397921
"P22","E",100.5216013,0.333743203,84.13146828,0.603758515,1.937587456,8.864842546,64.6600216,0.327127096,0.73665028,0.340998268,0.233111451,0.439154816,5.045083284
"P22","F",94.36993457,0.227030142,90.16378852,1.022439304,7.417694379,12.28448123,66.55144563,0.321841241,0.403481628,0.31028154,0.068274031,0.300056239,4.556233168
"P22","G",91.21559561,0.484065985,105.0705414,0.729433412,2.908000573,11.46257643,65.60224943,0.26716549,0.686763662,0.373081261,0.045701736,0.388397922,6.913102388
"P22","H",93.38928041,0.92245367,114.9827364,1.136516404,4.94554094,13.00874686,64.85994952,0.302309425,1.115366152,0.419179537,0.038008845,0.385729901,6.056517839
"P23","A",89.74577033,-0.030275378,98.61933092,0.289976668,1.2120748,3.837476722,60.8858935,0.261982171,0.112120715,0.347695179,0.008640415,0.37333052,4.56520319
"P23","B",89.6772827,0.002513615,97.46404198,0.241953583,1.867145667,4.193546932,63.31442761,0.259719287,0.068338719,0.255899779,0.012763505,0.245816851,5.41348505
"P23","C",89.36554093,0.001955268,100.4396416,0.355933433,1.892739402,5.71600777,61.5578154,0.297440908,0.068791092,0.268064084,0.014546745,0.379310545,4.868844986
"P23","D",94.17700023,3.381561542,95.68201901,0.47313093,1.660134317,7.514303487,62.2921738,0.322908927,0.365675074,0.329153796,0.200493867,0.377625236,11.10206056
"P23","E",88.79664102,0.046794282,93.57694628,0.441921588,1.284392333,5.043579943,63.00289881,0.306434136,1.116298047,0.32216581,0.366927809,0.374138648,9.9355371
"P23","F",89.26880206,0.150028591,91.47255752,0.148513673,1.094789357,2.684712268,59.86629661,0.260760493,0.142990715,0.275111089,0.013899824,0.369242678,7.875137091
"P23","G",82.84128558,0.002206369,97.1373523,0.258384745,1.100481883,3.984599217,61.38236277,0.282155303,0.26437266,0.27230779,0.141162669,0.356778162,8.385607481
"P23","H",89.99326319,0.001447113,99.62243576,0.597562302,2.975754585,8.830714515,63.12690877,0.279194298,0.049036846,0.255164013,2.85e-05,0.375153052,3.080022812
"P24","A",91.00009301,-0.295011663,90.27520107,1.906675216,9.685441542,70.55962469,859.5517163,0.323973012,0.392271103,0.371031852,0.074527938,0.327980208,6.364259958
"P24","B",91.81759183,0.299620693,120.6171522,2.319770683,9.542990231,26.30876124,477.6033811,0.343610446,0.061331825,0.262092565,0.034959893,0.303494241,3.894692898
"P24","C",90.61074513,0.130708267,99.13359327,2.434645289,6.679131658,26.80589524,104.0865082,0.28296687,0.067773743,0.345220943,0.019276786,0.363634702,2.179163694
"P24","D",93.96537156,-11.16583123,97.86218544,3.405113192,10.370355,93.63889438,666.7496258,0.324463756,0.886828758,0.41539629,0.446177431,0.377195532,5.305562019
"P24","E",97.34368599,-7.401503027,94.56532055,2.963300873,10.17963523,68.17538246,498.7810906,0.343723145,3.441715814,0.524578325,0.599910536,0.672407847,9.47305584
"P24","F",92.67675177,-0.621593648,95.76135297,1.811006013,8.449207046,16.19681816,106.230291,0.290829003,0.180722473,0.317845344,0.022285121,0.362314862,6.271368027
"P24","G",90.75565038,0.456760151,100.8170129,1.546352755,5.830609635,19.04986788,118.006864,0.306009112,0.048738425,0.296506186,0.028823079,0.319478083,4.197037458
"P24","H",84.11526045,-4.331031651,106.8715793,1.952257417,10.44021763,39.97122778,591.1875852,0.326256894,0.966541819,0.399786779,0.163677101,0.514492964,7.309008598
"P25","A",91.78358125,0.293252647,93.21015125,0.90175714,2.943177871,13.90867969,65.94374096,0.331129258,0.094815123,0.387645559,0.033312997,0.323246322,2.031748056
"P25","B",93.17615327,0.399291634,109.838483,1.041442354,7.585753099,21.83843068,378.7733761,0.355836388,0.23377731,0.29445924,0.041366933,0.380813288,5.328083277
"P25","C",93.13301123,0.152694961,98.4175463,0.403570685,1.925755104,5.930142312,64.77121405,0.297617407,0.026582265,0.293095697,0.046284036,0.342420471,2.476014853
"P25","D",91.73240122,8.260775764,116.5004471,1.780053566,5.765300783,21.34260321,66.16891031,0.340946331,0.180909693,0.277369481,0.098623565,0.339727609,3.386697292
"P25","E",87.37326426,-1.389458058,124.121487,2.963148201,9.693255776,39.55874303,518.6402521,0.331290145,0.374831252,0.313654722,0.1667999,0.325371021,4.322594166
"P25","F",92.01900183,0.127127437,93.26870807,0.863849015,4.8264,13.00714449,66.80175177,0.281362311,0.040905718,0.271222292,0.039185114,0.334565222,4.227174282
"P25","G",91.45278349,0.291834594,112.0013875,0.459841582,1.858176925,6.352638597,66.57331584,0.344441608,0.128799795,0.297672843,0.023370454,0.344081972,5.759992599
"P25","H",90.71918709,1.225307517,122.8826449,1.501265739,4.814089696,20.84339821,116.0204436,0.323038666,0.088431968,0.316084235,0.041321205,0.340270019,3.465269327
"P26","A",90.55184649,0.002832143,116.0628314,1.147377567,3.789905982,12.75005368,65.63870214,0.308138348,0.320903805,0.359510744,0.018004056,0.407249549,5.873069525
"P26","B",89.49786818,0.00102663,103.6605042,0.227673414,2.119724165,3.534180395,66.74595383,0.265751282,0.14018576,0.270708801,0.009292662,0.257987154,8.868609428
"P26","C",91.77763386,0.003322667,112.2251966,0.886190042,3.734121771,12.75859577,120.1667156,0.306351861,0.08910264,0.347828492,0.035387568,0.326248698,3.596786499
"P26","D",60.17215223,-10.2872013,108.9311787,1.886904381,9.873989893,22.18858005,507.2408214,0.359422102,2.367160949,0.466454014,0.459425092,0.45312408,29.20131087
"P26","E",76.92457194,-13.56789489,113.0782062,1.539124416,9.814018028,18.40338983,545.7471043,0.352985718,0.726073484,0.350703046,0.361601935,0.316583295,13.31117511
"P26","F",89.99079079,0.003500224,108.8850006,0.170132012,0.564503717,0.395274117,3.514103976,0.299039853,0.70051883,0.385143217,6.02e-05,0.387416107,13.67274141
"P26","G",89.76109548,0.005476162,123.7327592,0.368019466,1.161450279,4.396257026,61.59179538,0.362525296,0.192309253,0.360977614,0.010471874,0.328318195,6.885729551
"P26","H",88.96750813,-0.368854378,107.0604315,1.909108955,9.718838581,41.11020058,552.5080697,0.284694156,0.456707887,0.397202693,0.098199903,0.392773549,2.957719326
"P27","A",91.35084928,1.467952381,86.21625298,1.447232725,9.98160324,20.19867468,650.8869057,0.356220326,0.581532721,0.387648337,0.0250273,0.409545784,7.497225285
"P27","B",89.70300311,0.211992701,94.09576354,0.145614032,1.087941492,2.973903063,65.32992267,0.33066386,0.107400714,0.290058431,0.009176232,0.294073535,6.288664103
"P27","C",89.90197813,0.066259028,107.8121368,1.464374456,7.47326897,14.3582447,125.8365594,0.345461863,0.044823794,0.293302052,0.009025629,0.320531876,4.354746342
"P27","D",91.82123184,-8.612922809,118.879426,1.301440224,5.794402652,15.61708819,93.8001485,0.423571919,0.950453851,0.365675599,0.06639775,0.740192508,11.70031977
"P27","E",79.52275949,-23.67694586,102.3118856,3.180346778,10.45550633,41.20906913,519.704276,0.383663892,2.347703431,0.319168916,0.638699637,0.679345636,9.447983742
"P27","F",27.84989699,-41.47619529,-29.29133442,1.530829975,10.15587046,14.08350181,464.0775044,0.438433678,0.732987598,0.302682032,0.04925339,0.650690542,10.39679384
"P27","G",89.70843291,-0.425477362,108.8004895,0.268291791,2.122130007,5.113475191,63.34536528,0.3739171,0.179611704,0.277226442,0.009136416,0.366888054,8.582798243
