attribute,mean,sd
AvgAccel,11.223992884551723,8.893505569286203
AvgArea,0.12416450520689655,0.00649980079254923
AvgVelocity,0.897446230862069,0.8875396742039833
COGZ,0.32171557779310345,0.03480263153778309
Joint1_Distance,2.600896551724138e-5,3.110959789252318e-5
Joint2_Distance,0.46235246241379313,0.41510449960637924
Joint3_Distance,0.026228175,0.05014334571463809
Joint4_Distance,1.2069023494827587,0.3411741881651045
Joint5_Distance,0.8670603379310344,4.668075204761115
Joint6_Distance,1.0352448244827586,0.31265306942937204
Joint7_Distance,0.10418562562068966,0.2281141952394462
MaxAccel,112.21365162706897,131.11768087791128
MaxVelocity,3.454800440551724,2.769957727295335
PathLengthDifference,0.10718531996551724,0.1883829710611551
Pitch,0.347819996137931,0.8913841902368138
RangeX,0.2909584822758621,0.058169019706906376
RangeY,0.04909855003448276,0.054238734693202714
RangeZ,0.3061324471034483,0.09424546450420856
Roll,103.73700915172414,9.50717946085199
TimeElapsed,3.410608867137931,0.9218480196179315
TwistX,0.08513488162068966,0.030064015185100504
TwistY,0.010454380344827586,0.009350901106945642
TwistZ,-0.08448936279310344,0.03765716036749224
Yaw,92.18929710655172,1.992396924977255
