id,condition,Joint7_Distance,Joint6_Distance,Joint5_Distance,Joint4_Distance,Joint3_Distance,Joint2_Distance,Joint1_Distance
P10,A,0.077458573,1.118620585,0.00011452,1.580081433,0.000184962,1.189305291,8.18E-05
P10,B,0.070993483,0.925015315,0.00010275,1.02573914,6.94E-05,0.933384243,1.33E-05
P10,C,0.074818848,0.915725415,7.82E-05,1.15793925,6.66E-05,0.721727242,1.32E-05
P10,D,0.384344746,1.109009249,0.00013307,1.702614813,0.000169332,1.53196777,3.33E-05
P10,E,1.691239989,1.404226648,0.00015477,2.814196146,0.000331856,3.288312671,0.00016393
P10,F,0.313071097,1.168420845,9.36E-05,1.849597607,0.000162081,2.120821979,6.49E-05
P10,G,0.234911049,0.973750113,0.00018702,1.313918995,0.00019692,1.047583444,2.54E-05
P10,H,0.071643294,1.182640565,9.26E-05,1.13319236,0.000100838,0.232903426,4.07E-05
P11,A,0.129539884,1.298875204,8.91E-05,1.59205607,0.010068638,0.054400318,2.67E-05
P11,B,0.057592464,1.136705985,6.96E-05,1.13808886,0.010509067,0.183616639,1.43E-05
P11,C,0.072029901,1.046485941,0.00011373,1.09769242,0.009539689,0.000144742,2.26E-05
P11,D,0.451040143,1.438435842,0.00024738,1.78754489,1.013486139,0.454591126,9.66E-05
P11,E,0.086181158,1.320316212,0.00011059,1.483802307,0.000155063,0.083775927,9.30E-07
P11,F,0.060169133,0.2085131,0.00010172,0.4925074,0.060513515,0.776957995,1.54E-05
P11,G,0.029076936,1.15294785,6.95E-05,1.22097892,0.009910688,0.052031141,2.38E-05
P11,H,0.300906487,1.256731666,0.0002085,1.37088507,0.324885188,0.630760509,6.28E-05
P12,A,0.762012906,1.463242225,0.00034933,1.45766551,0.768305445,0.369541301,0.00020256
P12,B,0.912169959,1.1173028,0.00546933,1.19422666,0.319449565,0.514715316,7.00E-05
P12,C,1.27634434,0.125002927,0.0035825,0.16443101,0.177495612,0.002584808,3.83E-05
P12,D,4.02609326,1.414884928,0.00063953,1.05759793,0.954060069,0.388008288,0.00013718
P12,E,3.398089146,2.216045629,0.00066637,1.48779967,2.748397189,0.84548448,2.1982163
P12,F,2.520267785,1.094873539,0.00026603,1.03066971,0.097293312,0.820329196,4.13E-05
P12,G,1.83180953,1.455259688,0.0004237,1.05602408,0.287274419,0.171760994,8.02E-05
P12,H,2.184004116,1.23563553,0.00053309,1.09184649,1.013977755,0.047254072,4.52E-05
P13,A,0.123378396,1.43454451,0.00013403,1.470377842,0.158833559,1.279272727,0.00017026
P13,B,0.077884639,0.947463918,7.56E-05,1.04622231,0.012477334,1.31147824,4.18E-05
P13,C,0.064726535,1.040904242,5.99E-05,1.04635679,0.0101257,0.296756238,0.00014303
P13,D,0.22151249,1.089355596,25.1329108,1.03910927,1.954774548,0.642386469,0.61200289
P13,E,0.186036185,1.070566134,7.27E-05,1.12678454,0.026827267,0.564120354,0.00014091
P13,F,0.0936932,1.215140534,0.00011641,1.24418969,0.051173363,1.813835087,0.00013086
P13,G,0.056086171,1.069399824,6.59E-05,1.23653872,0.063605282,0.470909682,7.22E-05
P13,H,0.073130415,1.085397374,6.34E-05,1.08420724,0.036600547,0.304610092,5.42E-05
P14,A,0.225931652,1.892581452,0.00025503,1.96837648,0.324567521,2.88034966,0.36217833
